"","date","count","package"
"146",2020-12-24,136,"palmerpenguins"
"147",2020-12-25,57,"palmerpenguins"
"148",2020-12-26,152,"palmerpenguins"
"149",2020-12-27,161,"palmerpenguins"
"150",2020-12-28,109,"palmerpenguins"
"151",2020-12-29,116,"palmerpenguins"
"152",2020-12-30,132,"palmerpenguins"
"153",2020-12-31,110,"palmerpenguins"
"154",2021-01-01,55,"palmerpenguins"
"155",2021-01-02,82,"palmerpenguins"
"156",2021-01-03,159,"palmerpenguins"
"157",2021-01-04,203,"palmerpenguins"
"158",2021-01-05,291,"palmerpenguins"
"159",2021-01-06,211,"palmerpenguins"
"160",2021-01-07,191,"palmerpenguins"
"161",2021-01-08,255,"palmerpenguins"
"162",2021-01-09,136,"palmerpenguins"
"163",2021-01-10,256,"palmerpenguins"
"164",2021-01-11,540,"palmerpenguins"
"165",2021-01-12,974,"palmerpenguins"
"166",2021-01-13,1086,"palmerpenguins"
"167",2021-01-14,476,"palmerpenguins"
"168",2021-01-15,390,"palmerpenguins"
"169",2021-01-16,387,"palmerpenguins"
"170",2021-01-17,353,"palmerpenguins"
"171",2021-01-18,629,"palmerpenguins"
"172",2021-01-19,911,"palmerpenguins"
"173",2021-01-20,345,"palmerpenguins"
"174",2021-01-21,507,"palmerpenguins"
"175",2021-01-22,454,"palmerpenguins"
"176",2021-01-23,297,"palmerpenguins"
"177",2021-01-24,308,"palmerpenguins"
"178",2021-01-25,480,"palmerpenguins"
"179",2021-01-26,455,"palmerpenguins"
"180",2021-01-27,459,"palmerpenguins"
"181",2021-01-28,745,"palmerpenguins"
"182",2021-01-29,644,"palmerpenguins"
"183",2021-01-30,441,"palmerpenguins"
"184",2021-01-31,354,"palmerpenguins"
"185",2021-02-01,897,"palmerpenguins"
"186",2021-02-02,684,"palmerpenguins"
"187",2021-02-03,693,"palmerpenguins"
"188",2021-02-04,564,"palmerpenguins"
"189",2021-02-05,639,"palmerpenguins"
"190",2021-02-06,267,"palmerpenguins"
"191",2021-02-07,329,"palmerpenguins"
"192",2021-02-08,646,"palmerpenguins"
"193",2021-02-09,546,"palmerpenguins"
